name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
Aben,,,,Unknown,,http://www.joinaben.com,3,76,2021,Internet,https://www.linkedin.com/company/joinaben,"Time is the most valuable thing we own. Nobody lying on their deathbed wishes they had more money. Yet by the time we turn 70 we will have wasted three years of our lives waiting. Why do we waste so much time?

We shouldn't have to. WhatsBusy was created to make each minute of our day count. Our consumer products enable consumers to discover when places will be busy. Our business products enable businesses to better manage supply and demand. We create the transparency so you can empower your decisions.",Public Company,,11-50 employees,"Analytics, Machine Learning, Enterprise Reporting, Real time data processing, and Location Services",0,"Amazon Web Services, Amazon SES, Amazon Route 53",North American SaaS Companies - Revenue > 50M,,"Restaurants, Big Data, Enterprise Software, Local, , Real Time",B2B
搜芽,,,,China,China,http://www.soouya.com,4,0,,,https://www.linkedin.com/company/搜芽,搜芽 is a company based out of China.,,,,,10270000,,,,"Business Development, , Business Intelligence",B2B
depoint,,Hoboken,New Jersey,United States,"Hoboken, New Jersey",http://www.depoint.ai,8,107,2017,Information Technology and Services,https://www.linkedin.com/company/depoint,"SaaS platform for managing and communicating with employees in real-time using their smartphones. Management of tasks, training, inventory, shifts, transportation, benefits, procedures, incentives, new employee integration, events, news, and more. Enterprise managers can concentrate on managing and not waste time on the daily follow-up of tasks",Privately Held,,2-10 employees,"SaaS, Retail, Artificial Intelligence, and Business Management Software, Transactional Bots",0,,Companies with a .AI domain,,"Retail Technology,",B2B
Kriativar,,Belo Horizonte,State of Minas Gerais,Brazil,Belo Horizonte,http://www.kriativar.com.br,6,300,2014,Information Technology and Services,https://www.linkedin.com/company/kriativar,"Kriativar é uma plataforma de co-criação onde os alunos podem criar e compartilhar conteúdos desenvolvidos por eles, exercitando as habilidades da escrita, leitura e desenho através de atividades lúdicas e criativas.

Com a Kriativar, a escola tem a possibilidade de se diferenciar pelo uso da tecnologia aplicado ao processo de aprendizado e à própria gestão da educação. É uma maneira de oferecer mais aos alunos e muito mais às famílias. Quando tudo isso vem aliado às novas tecnologias, os resultados são ainda melhores, uma vez que o engajamento dos alunos aumenta consideravelmente.",Privately Held,,2-10 employees,"Comunicação Criativa, Realidade Virtual, Geolocalização, Realidade Aumentada, Conteúdo Interativo, Smart Toys, Tecnologia para Educação, Conteúdo Imersivo, Interação com Comunidades, Plataformas de Cocriação, and Smart Books",0,"New Relic, Google AdWords",,,"Education, EdTech, ,",B2B B2C
Businesset,,,,Unknown,,https://businesset.com,2,0,2013,International Trade and Development,https://www.linkedin.com/company/businesset,"In the environment of the rapidly growing and highly competitive business sector in the world, companies and individuals often need comprehensive support on their way to success and prosperity. To achieve their goals, sellers and buyers have to apply a detailed approach to the whole business process throughout all of its stages.

Businesset.com is an online platform for the global wholesale and retail trade. We serve millions of buyers and suppliers all around the world. The information on the resource is shown in 6 languages: Russian, English, German, Spanish, Chinese and Turkish. The users of Businesset.com can quickly and easily find the necessary goods and services.

Our main goal - is to become not just good, informative, user-friendly and useful site, but to become an attentive and kind friend for our visitors. It is important for us that our site’s visitors are not just doing business, but spend time on the site with the maximum benefit for themselves.

Our mission is to help suppliers and buyers to enter the most profitable trades, and create business anywhere easily! We do this by giving suppliers an opportunity to achieve a global audience for their products, as well as helping buyers to find the products and suppliers quickly and effectively.

Every our day – is a bank account and the money in it - it's our time.

There are no rich and poor, everyone has 24 hours.

Christopher Rice

 

Create your online business with us!",Public Company,,11-50 employees,"online business, wholesale",100000,Zendesk Chat,,,"E-Commerce,",B2B
Investree,749823,South Jakarta,Jakarta,Indonesia,"Jakarta Selatan, DKI Jakarta",http://www.investree.id,257,14599,2015,Financial Services,https://www.linkedin.com/company/investree,"Investree is Indonesia’s leading B2B marketplace lending platform for SMEs that is fully licensed by Financial Services Authority of Indonesia (OJK) for both conventional and Shariah businesses. Investree is based in Indonesia but has grown its regional footprint in Thailand and soon to be in the Philippines. Investree's mission as marketplace is to use technology and data to provide small businesses with access to working capital solutions from retail and institutional lenders.

Established in October 2015, Investree focuses on a B2B acquisition model to drive origination of SME borrowers. These include strong partnerships with ecosystems to drive origination, enhance verification and reduce cost of acquisition. These include strategic partnerships such as e-procurement platforms, payment gateway providers to source potential SMEs while accessing its digital footprint through the ecosystem to enhance the business process and customer experience.",Privately Held,,201-500 employees,"Investment, P2P Lending, Startup, Invoice Financing, Marketplace Lending, Business Loan, Loan Marketplace, and Small & Medium Entreprises",0,"MailChimp, New Relic, Vue.js, Vuejs, LinkedIn Ads, Google AdWords",Growjo - Fastest Growing Fintech Companies 2020,,"Marketplace, Financial Services, Lending, FinTech, Peer to Peer,",B2B
Mobi Solutions,,,,Unknown,,http://www.mobisolutions.com,17,137,2001,Telecommunications,https://www.linkedin.com/company/mobi-solutions,"Mobi Solutions is the leading SMS-gateway provider in the Baltic states. 

Our core focus areas are:

    * Providing SMS-gateway in Estonia, Latvia and Lithuania
    * Global bulk SMS sending (www.messente.com)
    * Mobile applications development
    * M-governance",Privately Held,,11-50 employees,"Mobile applications development, Latvia and Lithuania, Global bulk SMS sending (www.messente.com), M-governance, SMS-gateway in Estonia",50000,,,,"Telecommunications, SaaS,",B2B
Voconline,,Chennai,Tamil Nadu,India,"Chennai, Tamil Nadu, India",http://voconline.com,0,0,,,https://www.linkedin.com/company/voconline---india,"Voconline - India is a company based out of 12 Kalaimagal Nagar , Karapakkam, Chennai, Tamil Nadu, India.",,,,,0,,,,"Internet, Information Technology, Software, Small and Medium Businesses,",B2B
Uradi-zaradi,,Belgrade,,Serbia,"Belgrade, Center",http://uradi-zaradi.rs,7,274,2016,Internet,https://www.linkedin.com/company/uradizaradi,"We are the first online platform for finding RELIABLE, PERSONAL HELP at your home.

Using our platform, busy individuals are able to find TRUSTED, local help for everyday home taskes (cleaning, cooking, ironing).

Why can you trust us?
We have developed a stable system for security check for all of our taskers.

If you wanna know more about us, and how the platform works, you can take a look at our video.

Life is busy, we can help.

",Privately Held,,2-10 employees,,0,"HubSpot, Drift, Google AdWords",,,"Marketplace,",B2C
RegioMag,,,,Unknown,,http://regiomag.net,3,18,2013,Internet,https://www.linkedin.com/company/regiomag,"RegioMag : La solution web pour les circuits courts
Quand les producteurs vendent directement aux consommateurs

RegioMag est une agence Web spécialisée dans la vente directe. Elle offre des solutions de gestion et de logistique en ligne pour le développement de la Consommation Juste.

Aujourd'hui RegioMag offre le premier portail de vente directe. Halle aux producteurs et artisans de vente directe, C'est là le meilleur moyen de garantir la Consommation Juste",Partnership,,2-10 employees,"Agence web, système de management logistique et vente, Vente directe",0,,,,"Internet, Developer Platform,",B2B
Billaway,,Andover,Massachusetts,United States,"ANDOVER, Massachusetts",http://billawayglobal.com/,8,534,2013,Marketing and Advertising,https://www.linkedin.com/company/billaway,"Billaway is an emerging Marketing Technology company providing solutions to advertisers and Mobile Operators that enable a new and never before connected relationship between consumers, advertisers, and Mobile Operators.",Privately Held,,11-50 employees,"Saas, Loyalty Marketing, Financial Technology, Loyalty & Rewards, 2C, Consumer Acquisition Marketing, Consumer Retention Marketing, and Internet Software",5600000,,Companies with HQ in the USA with employees outside of the USA,,"Mobile, Enterprise Software, ,",B2B B2C
GroCurv,,Gurugram,Haryana,India,"Gurgaon, Haryana",http://www.grocurv.com,9,835,2019,Information Technology and Services,https://www.linkedin.com/company/grocurv,"GroCurv (www.grocurv.com) is a B2B marketing and sales services procurement platform. We use a proprietary algorithm to select the best solution providers for every business need. GroCurv takes ownership of the quality of service providers by ensuring that they are affordable, impactful and relevant. We bring simplicity, transparency, speed and reliability to the procurement process. 

For our service providers, we open up new avenues of business development and provide an opportunity to work with different industries and markets.

Some quick facts about us:
-GroCurv’s platform is free to use for companies seeking business solutions
-2000+ fast growing companies have benefitted with growth solutions through our curated network of 1000+ service providers and 200+ experts
-Executed over 1200+ projects in the last 18 months across various industries such as Home & Personal Care, Food & Beverage, Healthcare, Online Retail, etc.


Visit us at www.grocurv.com and see how we impact your business results. Fast",Privately Held,,2-10 employees,,250000,,,,"Information Technology, Consulting, Marketing, Small and Medium Businesses, Trading Platform,",B2B
